fecha;dia_semana;temperatura_c;precio_promedio;ventas_unidades
01/04/2026;miércoles;17.8;823;202
02/04/2026;jueves;SIN DATO;1326;139
03/04/2026;viernes;19.9;1081;170
04/04/2026;sábado;12.2;1129;295
05/04/2026;domingo;13.2;993;304
06/04/2026;lunes;21.2;1251;158
07/04/2026;martes;9.1;815;260
08/04/2026;miércoles;20.5;1023;170
09/04/2026;jueves;20.2;818;201
10/04/2026;viernes;15.6;874;251
11/04/2026;sábado;13.2;1380;287
12/04/2026;domingo;12.9;1195;304
13/04/2026;lunes;12.6;1057;203
14/04/2026;martes;15.2;1114;161
15/04/2026;miércoles;16.1;1324;188
16/04/2026;jueves;SIN DATO;1007;223
17/04/2026;viernes;22.9;1154;141
18/04/2026;sábado;20.1;1210;263
19/04/2026;domingo;17.7;1013;307
20/04/2026;lunes;22.8;1111;171
21/04/2026;martes;12.0;1259;220
22/04/2026;miércoles;11.2;1346;180
23/04/2026;jueves;17.6;891;245
24/04/2026;viernes;9.6;1360;168
25/04/2026;sábado;9.5;803;383
26/04/2026;domingo;16.2;1252;280
27/04/2026;lunes;15.5;1286;195
28/04/2026;martes;21.8;882;230
29/04/2026;miércoles;17.8;1051;224
30/04/2026;jueves;16.2;1289;139
01/05/2026;viernes;16.0;809;185
02/05/2026;sábado;12.5;1177;319
03/05/2026;domingo;9.2;1276;281
04/05/2026;lunes;11.7;1108;217
05/05/2026;martes;18.7;1236;180
06/05/2026;miércoles;11.8;936;196
07/05/2026;jueves;14.2;919;172
08/05/2026;viernes;SIN DATO;1018;250
09/05/2026;sábado;20.6;908;284
10/05/2026;domingo;11.2;1008;321
11/05/2026;lunes;12.7;1369;180
12/05/2026;martes;21.3;1144;133
13/05/2026;miércoles;16.1;1004;165
14/05/2026;jueves;20.9;963;175
15/05/2026;viernes;18.0;1371;123
16/05/2026;sábado;19.4;1067;229
17/05/2026;domingo;10.3;1388;299
18/05/2026;lunes;16.6;1109;186
19/05/2026;martes;16.1;1113;200
20/05/2026;miércoles;21.2;1338;108
21/05/2026;jueves;14.1;1246;169
22/05/2026;viernes;17.4;1148;153
23/05/2026;sábado;9.8;1056;307
24/05/2026;domingo;14.4;1327;274
25/05/2026;lunes;13.5;1047;194
26/05/2026;martes;11.1;1354;200
27/05/2026;miércoles;20.4;841;205
28/05/2026;jueves;14.3;1058;258
29/05/2026;viernes;22.7;1112;116
30/05/2026;sábado;17.3;1371;269
31/05/2026;domingo;17.5;951;294
01/06/2026;lunes;17.9;1284;158
02/06/2026;martes;18.5;1206;128
03/06/2026;miércoles;11.1;1230;194
04/06/2026;jueves;15.2;1178;206
05/06/2026;viernes;12.4;1383;178
06/06/2026;sábado;14.6;1000;309
07/06/2026;domingo;10.4;1039;321
08/06/2026;lunes;22.5;922;203
09/06/2026;martes;12.0;830;248
10/06/2026;miércoles;18.4;928;143
11/06/2026;jueves;SIN DATO;1349;162
12/06/2026;viernes;21.2;1304;87
13/06/2026;sábado;18.3;867;220
14/06/2026;domingo;10.8;1162;298
15/06/2026;lunes;20.8;1088;198
16/06/2026;martes;22.2;1157;149
17/06/2026;miércoles;21.7;1196;117
18/06/2026;jueves;SIN DATO;984;176
19/06/2026;viernes;11.0;1377;217
20/06/2026;sábado;11.7;1080;319
21/06/2026;domingo;22.0;1177;243
22/06/2026;lunes;16.7;1181;177
23/06/2026;martes;11.5;910;243
24/06/2026;miércoles;21.4;837;211
25/06/2026;jueves;18.0;1047;200
26/06/2026;viernes;17.0;1258;172
27/06/2026;sábado;SIN DATO;1289;248
28/06/2026;domingo;14.8;1238;290
29/06/2026;lunes;SIN DATO;868;224
